Date,Comment,Like,Dislike
"Feb 11, 2020",“Dubious food...” yo breath of the wild fans where you at???,1616,0
"Feb 11, 2020","HE EYED THE COLLARBONE! I REPEAT, HE EYED THE COLLARBONE!",1182,5
"Mar 03, 2020",Kade is the reason schools dress code shoulders.,1050,4
"Feb 11, 2020",Rule three is already getting broke,572,1
"Feb 11, 2020","brb, getting some Bokoblin fangs and ancient gears boiling...",441,1
"Feb 11, 2020",In disappointed at the lack of breath of the wild comments tbh,384,1
"Feb 11, 2020",I love how he was blow drying her hair! So cuuuute🥰😳,340,1
"Feb 11, 2020",There’s this new thing called FEELINGS and I think Kade is catching it,308,1
"Feb 12, 2020",Kade isn’t a fan of sweets also kade licks frosting off of hand,302,1
"Feb 11, 2020",Look at them growing together 🥺,219,1
"Feb 11, 2020",I ship it so hard....,180,1
"Feb 11, 2020",rule three is quaking in her boots,178,1
"Feb 13, 2020",I’m in my twenties fan girling like a 10 year old at a Jonas brothers concert in the 2000s,163,1
"Feb 11, 2020",those cupcakes lowkey look really good tho 🤔🙈,134,0
"Feb 11, 2020",COLLARBONE,124,0
"Mar 03, 2020",TINY TWO FINGER HIGH FIVE IT'S TO CUTE,109,0
"Feb 11, 2020",HE ATE HER CHEEK ICING,99,0
"Feb 11, 2020","“Hi, can I have some ZAPLOONSNDJD please?",88,1
"Feb 18, 2020","""misfortune of others is silly"" -*slow clap*- she's a keeper!",130786,229
"Feb 18, 2020","""Explosions are cool, Women are hot and the Misfortune of others is silly"" literally explains tv in a nutshell lmao",72598,91
"Feb 18, 2020","take my coins I don't care, was worth it 😆 edit: my first top comment! is it cheesy I'm editing it like every other person ever? oh well 🤷.",48714,670
"Feb 18, 2020",Ah next she'll learn about memes,3521,1
"Feb 18, 2020",Dude you should have put on PBS kids or veggie tails,2906,4
"Feb 18, 2020","""Aliens!"" 👽 Nothing like a confused alien watching the guy on Ancient Aliens blame aliens for everything.",1971,2
"Mar 10, 2020",“women are hot!” couldn’t agree more,1899,17
"Feb 18, 2020",Steven universe! 🤩,1623,12
"Feb 18, 2020","hey, did anyone else hear that crack in Rule 3 spreading?",1342,1
"Feb 18, 2020",Rule 3 is shaking-,928,2
"Feb 18, 2020",how is NO ONE COMMENTING ABOUT THE ALIENS GUY ON THE HISTORY CHANNEL. ITS GOLD,657,1
"Mar 10, 2020","Baby Metal, Steven Universe, memes.... i see Author is a woman of culture, i appreciate thw references! 😂❤",515,2
"Feb 18, 2020","Well, this was a very steep slide straight into the FEELINGS, Kade. So much for rule #3, I guess.",457,1
"Mar 10, 2020",is that.... STEVEN UNIVERSE?,410,7
"Mar 10, 2020",STEVEN UNIVERSE!!,241,6
"Mar 05, 2020",they turned on Steven Universe! IT'S PERFECT.,221,4
"Mar 10, 2020",I saw Steven and my mood shot up immediately. Also bruh that rule 3’s not doing anything for this dood,212,3
"Feb 18, 2020",Lap pillow is best pillow. Change my mind.,187,1
"Mar 10, 2020",STEVE UNIVERSE !!!! BABY METAL !!!!!  Says In almighty voice* FINALLY OTHER WEEB I CAN RELATE TO (edit if u don’t know what baby metal is it is a Japanese heavy metal band,154,3
"Mar 10, 2020",broo when she said women's are hot ahahha gay vibes🌈🤣,140,5
"Mar 10, 2020",I mean she got the Woman Are Hot thing right,110,2
"Mar 10, 2020","No, no, just let her watch Steven Universe! It'll teach her a lot!",88,2
"Feb 25, 2020",Zay: *Starts drawing her own fanfic about her relationship with Kade lol* Readers: She's just like us! ❤️❤️❤️,124949,317
"Feb 25, 2020",She has become an Alien Weeb! Nothing can stop her now!,86585,380
"Feb 25, 2020",that better go on the fridge,45384,43
"Mar 17, 2020",ARE WE NOT GONNA TALK ABOUT HIS MANAGER BLUSHING,3145,8
"Feb 25, 2020",Please hang that beautiful family photo on the fridge.,1560,0
"Feb 25, 2020",How 2 explain anime 2 alien fast:Alright I got this new anime plot.Basically there is this girl with some HUGE boobs I mean some serious honkers a real set of badonkers packing some dobanahangoros massive dahonkabankaloos big ol’ tonohongerecugars what happens next? Transfer student shows up with even bigger Bahonagahoogs HUMONGUS hongolonononogongus,1119,13
"Feb 25, 2020",I think... the boss... has a little crush 😳,1022,8
"Mar 17, 2020",Kade's manager is giving off some gay vibes and I'm kinda living for it,809,17
"Feb 25, 2020",This webtoon has no right to be this wholesome,506,0
"Mar 17, 2020",THE THIRD RULE HAS BEEN YEETED SOME TIME AGO,492,0
"Feb 27, 2020",I always imagine her voice like Starfires voice.,435,1
"Feb 25, 2020",That is so pure 🥰🥰🥺,319,2
"Feb 25, 2020",THE PICTURE OF THEM TOGETHER. ITS SO PURE. I LOVE HER SO MUCH. 🥰🥰🥰,273,1
"Feb 25, 2020",Oh my god she’s so cute I can’t,221,0
"Mar 04, 2020",yeah dude!! there is nothing wrong with liking romance while also being 24,209,0
"Mar 10, 2020",she is  p r e c i o u s,188,1
"Mar 17, 2020","""How do I explain anime culture to an alien?"" Bro, how do I explain anime culture to a human?",184,0
"Mar 08, 2020",Kade: Explaining anime culture. Zay: Is the anime culture manifested.,162,0
"Feb 25, 2020",Yo if she becomes a model cuz of his manager?.......Imma have a nosebleed 🤤🤤🤤🤤,121,3
"Mar 17, 2020","SHE IS A 5 YEAR OLD, IN THE BODY OF A 20 YEAR OLD, AND HAS THIGHS THAT COULD CRUSH A PERSONS HEAD IN SECONDS! AAAAAAAAAHHHHHHH",94,3
"Mar 17, 2020",So now I have a new ship. I can't help but ship kade and his manager THEY ARE SO CUTE TOGETHER,94,14
"Mar 17, 2020",If Kade doesn't hang that drawing on the fridge then WHAT'S THE POINT,76,0
"Mar 03, 2020",Am I the only one who imagines her voice as Starfire?? Just me? Ok... (edit: why is this top comment I am confusion rn lol thanks tho!) Edit 2: ok so there’s a lot of ppl pissed off I didn’t realize Zay was based off Starfire and some have said this comment before. I usually don’t read comments after I read my webtoons so I had no idea some have said this before me. Thanks to those however who were nice about it or just realized it as well. Next time I’ll just keep to myself haha.,102896,612
"Mar 03, 2020",I don't know why but I have a feeling that's his ex or it could be you know....LET ME SPEAK TO THE MANAGER Aka Kade's boss Aka noisy body.,65787,223
"Mar 03, 2020","Mallmart at 2am is a wild place man, bold choice for the first venture out. Once saw a guy planking in a freezer case in a mallmart at 2am",30189,37
"Mar 03, 2020","It's not Kade's manager or the girl buying the nightgown. The hair is too long for either of them, plus the color is different from either. It's either Kade's ex or a friend of his.  edit: Maybe it is the girl buying the nightgown, I looked at her episode again. Def not the manager though.",988,5
"Mar 03, 2020",she THICC.,733,2
"Mar 03, 2020",Floating would be a great thing for most short girls trying to reach the top shelf 😂 being tall has its perks,670,1
"Mar 03, 2020",no one's gonna talk about hey there Delilah? am I the only one that likes that song?,549,4
"Mar 03, 2020","Am I first? No way! Grocery shopping at 2am? Heck, if it means avoiding human interaction as much as possible, I’ll see you there Kade & Zay! 😂 Also, no need to buy dessert cause she’s got the cake. 🍑",289,0
"Mar 03, 2020",I think this is that customer he helped,200,3
"Mar 03, 2020",And this is the moment that Brian knew he F***** up,157,0
"Mar 03, 2020",Oh man Zay... Getting busted by the ex this soon into the webtoon. #blessyourheart,125,0
"Mar 24, 2020",I think the stalker is the thicc girl from Spenders. The girl that bought the night gown. Her hair when she whips away looks like the same color.,122,0
"Mar 03, 2020",THE TOOL SHIRT THE TOOL SHIRT,111,1
"Mar 03, 2020",It’s definitely the chick who Kade talked to in the store about the nightgown.,66,0
"Mar 03, 2020",Did any one else start singing hey there dahlia when it came on???,55,2
"Mar 24, 2020",I don’t think they saw her flying.. they probably just saw him holding her,51,0
"Mar 24, 2020",I feel like that person could be the girl from Episode 7 because the silhouette of that person in the mall is curvy like the girl...,40,0
"Mar 03, 2020",Who wants to bet the strange figure is another of whatever Zay is.,38,0
"Mar 04, 2020",tool 👌🏻😌,35,0
"Mar 03, 2020",It’s definitely the manager he probably thinks he caught kade with his”girlfriend”,35,5
"Mar 24, 2020",Umm... I was comparing their heights and it brought my mind to something... How old is Zaida?,30,1
"Mar 24, 2020",So no ones gonna talk about the death pond hoodie... ok,26,0
"Mar 10, 2020","Breaking news, this WEBTOON is FAKE! Because the Nintendo Switch is NEVER on sale!",161543,2694
"Mar 10, 2020",She’s going to float right into his heart,96012,270
"Mar 10, 2020",Oh my god why are they so damn cute 🥺,85533,233
"Mar 10, 2020",THIS IS LIKE THE MOST ADORABLE WEBTOON EVER! I WANT THIS IN ANIME FORM!!! Mind yall I'm a 6 foot 220 pound former marine and I'm absolutely losing my mind over this lmao,3260,11
"Mar 10, 2020",that girl was that chick that bought something in the store and came back and started liking him because the way he smiled at her........ Also  When the next post?????,1756,4
"Mar 10, 2020","For everyone wondering who the girl is, that’s one of the girls that shops in Spenders lol",1103,4
"Mar 13, 2020",Is it just me or is she being drawn thiccer and thiccer?,1061,5
